id,name,name_en,country,province,longitude,latitude,timezone,population,capital
278,Port-au-Prince,Port-au-Prince,Haiti,Ouest,-72.3403,18.5469,UTC,2914190,primary
279,中山,Zhongshan,China,广东,113.35,22.5333,Asia/Shanghai,2909634,minor
280,威海,Weihai,China,山东,122.1,37.5,Asia/Shanghai,2906548,minor
281,大庆,Daqing,China,黑龙江,125.008,46.5979,Asia/Shanghai,2904532,minor
282,Bursa,Bursa,Turkey,Bursa,29.0805,40.1913,Europe/Istanbul,2901396,admin
283,Mbuji-Mayi,Mbuji-Mayi,Congo (Kinshasa),Kasaï Oriental,23.5967,-6.1209,UTC,2892000,admin
284,海口,Haikou,China,海南,110.32,20.02,Asia/Shanghai,2873358,admin
285,湘潭,Xiangtan,China,湖南,112.9228,27.8431,Asia/Shanghai,2864800,
286,Pyongyang,Pyongyang,"Korea, North",P’yŏngyang,125.7475,39.0167,Asia/Pyongyang,2863000,primary
287,San Luis Potosi,San Luis Potosi,Mexico,San Luis Potosí,-100.975,22.1497,America/Mexico_City,2822255,admin
288,Brazzaville,Brazzaville,Congo (Brazzaville),Brazzaville,15.2711,-4.2694,UTC,2813480,primary
289,Omdurman,Omdurman,Sudan,Khartoum,32.4629,15.6835,UTC,2805396,
290,牡丹江,Mudanjiang,China,黑龙江,129.5997,44.5861,Asia/Shanghai,2798723,minor
